sim,fp
0.02774,0.027901123513056514
0.04264,0.042527729670693404
0.45824,0.45879228177545994
0.0997,0.06663058123471166
0.20684,0.20830874487715878
0.26156,0.26188254097030206
0.23656,0.23460835930189106
0.33425,0.3355956803202017
0.01937,0.019365329056877156
0.14695,0.1468675311967509
0.12789,0.09088206701313939
0.26199,0.265396615378386
0.03996,0.041259112279504406
0.02291,0.02234163696282354
0.27613,0.2771704646469264
0.66169,0.7176844049964474
0.31219,0.29446081959952697
0.04296,0.04339589318427772
0.02154,0.021672028813810473
0.07694,0.07726395289869192
0.4907,0.48904474873898807
0.46356,0.4428664639266434
0.0344,0.024014122891001133
0.10712,0.07411988693635374
0.43865,0.3802620331806259
0.07018,0.07020502867369582
0.02516,0.024902998184725855
0.40789,0.4077815298616778
0.29265,0.2911382872169157
0.19847,0.19932614337138266
0.61142,0.7018228872065384
0.05702,0.058455537806607616
0.02278,0.022327489990603633
0.39588,0.3953979484799546
0.161,0.07097838455843941
0.08621,0.08718618558307933
0.05468,0.04290167304221382
0.03497,0.026666481670780007
0.19167,0.09895303099719932
0.24609,0.16524813369163704
0.03536,0.03482086202990986
0.06354,0.06343465519020042
0.05667,0.05684466583011516
0.47406,0.5125991702607562
0.05409,0.053403562937947235
0.452,0.45176694939372974
0.1847,0.18459035409094537
0.37017,0.36929754478456933
0.12533,0.1253234381909466
0.48164,0.4810429894309325
0.20846,0.2075753247382306
0.30787,0.31241492968449913
0.36543,0.36536036791466986
0.06695,0.06680731988304212
0.02854,0.02889409046871827
0.16058,0.16412929398542064
0.40077,0.40240424742092473
0.56629,0.646642041545227
0.03434,0.0343868232460276
0.02153,0.021382679073697397
0.12191,0.12284566882692038
0.44262,0.4379981216586991
0.44106,0.4516684064959361
0.12285,0.12404592315984775
0.22775,0.19134123991078766
0.44252,0.4422484136343954
0.36002,0.2568365837286227
0.48184,0.4834293267105716
0.07053,0.03452343060101315
0.03175,0.03192841367286403
0.41146,0.4132999441065254
0.48414,0.5405088024342668
0.07542,0.07477215985949881
0.06344,0.06437336368440538
0.41465,0.4143196544845613
0.46743,0.5056191037021215
0.03775,0.03723139785133711
0.67141,0.781516879906927
0.04032,0.028676584600115018
0.48665,0.48908010388519374
0.56543,0.6375294287826114
