sim,fp
0.23003,0.2166125594850189
0.05379,0.04902900480657879
0.53029,0.5165400434670173
0.77617,0.7666160286736577
0.59038,0.5764334279684793
0.24948,0.23266772423071647
0.13965,0.1286737861069649
0.16859,0.14869224350442434
0.71096,0.7041311712902458
0.38031,0.36763482035299766
0.62132,0.6036152362944049
0.60805,0.5895488462401067
0.26956,0.2501179348657091
0.09995,0.09398537700918919
0.50314,0.49110232193671655
0.19233,0.1715324287976877
0.63505,0.6250380202514149
0.48608,0.4877335672028402
0.66976,0.665316558840397
0.74807,0.7477864982893008
0.50945,0.49319314164388384
0.48789,0.4799717046931612
0.69416,0.6934307790248306
0.38847,0.3649521249990003
0.17894,0.15950774801935308
0.20495,0.18455801202318312
0.22877,0.20715435235983204
0.28721,0.2639045781538959
0.74132,0.7471117222157638
0.50278,0.4992331272586805
0.3161,0.3017990398266145
0.70005,0.6955462751133182
0.48944,0.4831536619882104
0.13866,0.12723187142918024
0.25763,0.23769118960854463
0.13191,0.11654709034362687
0.22391,0.20914886562909296
0.12077,0.10355514992774739
0.43976,0.4250057151586174
0.72601,0.7150468877963202
0.12123,0.11109244842867005
0.21319,0.196007956361004
0.11531,0.09766721276396606
0.62772,0.6337618722095345
0.34595,0.32994150316807236
0.37107,0.37738288024941125
0.15883,0.1437456849745763
0.43315,0.4211131380517922
0.11736,0.10576149551189973
0.12339,0.10280862592447826
0.57325,0.5743227912482987
0.51792,0.5086660772665674
0.09399,0.08003940995669634
0.14032,0.12194474791495069
0.53428,0.5457330110569618
0.58312,0.5564821405881222
0.24266,0.23350089960539977
0.21038,0.19893288351609495
0.58208,0.5664977958504456
0.37091,0.344128571340965
0.56865,0.5609531038027596
0.13633,0.1141483454571065
0.3707,0.3488032775034514
0.48002,0.4749145509374315
0.49524,0.4747796523708795
0.22689,0.19715734620710468
0.34515,0.3171090256359318
0.22193,0.20106830836297274
0.45256,0.43560776030455794
0.69769,0.7007498498407612
0.54518,0.5353243960886934
0.66267,0.6700570095792193
0.11798,0.10205723539545941
0.81009,0.8197706127680751
0.15951,0.13314398807154915
0.09805,0.08143223130176125
0.14352,0.12690644271377027
0.1993,0.16289952556132026
0.59072,0.5668520037018647
0.07992,0.06234148750972757
0.27548,0.2550751059770775
0.10887,0.09086988591704381
0.56851,0.550738202534863
0.20123,0.19172675618030677
0.5819,0.5844477874951506
0.09758,0.07950979442563777
0.81877,0.8346631145164943
0.28409,0.2555139599269187
0.71927,0.7297767568153974
0.3322,0.31056508465120236
